type,page,url,follow
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/entertainment-events/clublife-tournaments/clublife-champions-classic,True
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/terms-of-use,True
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/entertainment-events/clublife-weddings,True
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/entertainment-events/host-an-event,True
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/our-portfolio/clublife-mgmt-and-acquisitions/member-owned-clubs,True
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/our-portfolio/clublife-mgmt-and-acquisitions/new-page,True
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/entertainment-events/tournaments-outings,True
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/our-portfolio/explore-our-major-markets/dallas,True
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/entertainment-events/clublife-entertainment,True
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/entertainment-events/clublife-tournaments/clublife-couples-tournament,True
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/our-story/management-team,True
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/our-story/community-impact/cedar-lane,True
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/our-story/our-pupose,True
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/our-story/clublife-charities,True
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/our-portfolio/stadium-clubs,True
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/our-story/clublife-charities/community-heroes,True
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/member-benefits/alliances,True
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/our-portfolio/bigshots-golf-lounge,True
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/our-story/our-history,True
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/our-portfolio/explore-our-major-markets/houston,True
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/our-portfolio,True
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/our-story/news,True
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/our-portfolio/clublife-mgmt-and-acquisitions/recent-acquisitions,True
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/our-portfolio/explore-our-major-markets/tampa,True
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/entertainment-events/clublife-tournaments/clublife-two-person-best-ball,True
XML Sitemap,https://www.clubcorp.com/sitemap.xml,https://www.clubcorp.com/member-benefits/benefits-finder,True
Hyperlink,https://www.clubcorp.com/tournaments-and-outings,https://www.clubcorp.com/investor-access,True
